s,p,o
wallet_provider,FORNISCE,wallet_solution
wallet_provider,FORNISCE,wallet_unit
wallet_unit,INCLUDE,wallet_instance
wallet_unit,INCLUDE,wallet_secure_cryptographic_application
wallet_unit,INCLUDE,wallet_secure_cryptographic_device
wallet_unit,E_FORNITA_A,wallet_user
wallet_unit,FORNITA_DA,wallet_provider
wallet_user,CONTROLLA,wallet_unit
wallet_instance,PARTE_DI,wallet_unit
wallet_instance,INSTALLATA_SU,wallet_user_device
wallet_user_device,OSPITA,wallet_instance
wallet_user,USA,wallet_instance
wallet_secure_cryptographic_application,GESTISCE,critical_assets
wallet_secure_cryptographic_application,COLLEGATA_A,wallet_secure_cryptographic_device
wallet_secure_cryptographic_device,PROTEGGE,critical_assets
provider_of_PID,EMETTE,PID
provider_of_PID,REVOCA,PID
provider_of_PID,ASSICURA_LEGAME_PID_A,wallet_unit
PID,LEGATO_A,wallet_unit
wallet_relying_party,SI_AFFIDA_A,wallet_unit
register_of_wallet_relying_parties,CONTIENTE_INFO_SU,wallet_relying_party
Member_State,DESIGNA,registrar_of_wallet_relying_parties
registrar_of_wallet_relying_parties,MANTIENE_ELENCO_DI,wallet_relying_party
registrar_of_wallet_relying_parties,MANTIENE,register_of_wallet_relying_parties
Member_State,INCARICA,provider_of_wallet_relying_party_access_certificates
provider_of_wallet_relying_party_access_certificates,EMETTE,wallet_relying_party_access_certificate
wallet_relying_party_access_certificate,AUTENTICA_E_VALIDA,wallet_relying_party
wallet_relying_party_access_certificate,RILASCIATO_A,wallet_relying_party
